A , a , B , b , C , c , 
0.53, 0.47, 0.42, 0.58, 0.54, 0.46, 
0.57, 0.43, 0.48, 0.52, 0.57, 0.43, 
0.51, 0.49, 0.58, 0.42, 0.61, 0.39, 
0.5, 0.5, 0.64, 0.36, 0.64, 0.36, 
0.5, 0.5, 0.73, 0.27, 0.64, 0.36, 
0.53, 0.47, 0.77, 0.23, 0.69, 0.31, 
0.5, 0.5, 0.81, 0.19, 0.78, 0.22, 
0.49, 0.51, 0.84, 0.16, 0.81, 0.19, 
0.55, 0.45, 0.85, 0.15, 0.82, 0.18, 
0.58, 0.42, 0.88, 0.12, 0.84, 0.16, 
0.55, 0.45, 0.93, 0.07, 0.87, 0.13, 
0.56, 0.44, 0.93, 0.07, 0.88, 0.12, 
0.58, 0.42, 0.93, 0.07, 0.92, 0.08, 
0.6, 0.4, 0.94, 0.06, 0.94, 0.06, 
0.62, 0.38, 0.95, 0.05, 0.95, 0.05, 
0.64, 0.36, 0.96, 0.04, 0.95, 0.05, 
0.64, 0.36, 0.97, 0.03, 0.98, 0.02, 
0.66, 0.34, 0.97, 0.03, 0.99, 0.01, 
0.67, 0.33, 0.97, 0.03, 0.99, 0.01, 
0.69, 0.31, 0.97, 0.03, 0.99, 0.01, 
0.71, 0.29, 0.99, 0.01, 0.99, 0.01, 
0.7, 0.3, 1.0, 0.0, 0.99, 0.01, 
0.72, 0.28, 1.0, 0.0, 0.99, 0.01, 
0.73, 0.27, 1.0, 0.0, 0.99, 0.01, 
0.74, 0.26, 1.0, 0.0, 1.0, 0.0, 
0.75, 0.25, 1.0, 0.0, 1.0, 0.0, 
0.75, 0.25, 1.0, 0.0, 1.0, 0.0, 
0.77, 0.23, 1.0, 0.0, 1.0, 0.0, 
0.8, 0.2, 1.0, 0.0, 1.0, 0.0, 
0.81, 0.19, 1.0, 0.0, 1.0, 0.0, 
0.81, 0.19, 1.0, 0.0, 1.0, 0.0, 
0.83, 0.17, 1.0, 0.0, 1.0, 0.0, 
0.83, 0.17, 1.0, 0.0, 1.0, 0.0, 
0.83, 0.17, 1.0, 0.0, 1.0, 0.0, 
0.84, 0.16, 1.0, 0.0, 1.0, 0.0, 
0.84, 0.16, 1.0, 0.0, 1.0, 0.0, 
0.86, 0.14, 1.0, 0.0, 1.0, 0.0, 
0.87, 0.13, 1.0, 0.0, 1.0, 0.0, 
0.88, 0.12, 1.0, 0.0, 1.0, 0.0, 
0.88, 0.12, 1.0, 0.0, 1.0, 0.0, 
0.88, 0.12, 1.0, 0.0, 1.0, 0.0, 
0.88, 0.12, 1.0, 0.0, 1.0, 0.0, 
0.88, 0.12, 1.0, 0.0, 1.0, 0.0, 
0.89, 0.11, 1.0, 0.0, 1.0, 0.0, 
0.89, 0.11, 1.0, 0.0, 1.0, 0.0, 
0.9, 0.1, 1.0, 0.0, 1.0, 0.0, 
0.91, 0.09, 1.0, 0.0, 1.0, 0.0, 
0.92, 0.08, 1.0, 0.0, 1.0, 0.0, 
0.93, 0.07, 1.0, 0.0, 1.0, 0.0, 
0.94, 0.06, 1.0, 0.0, 1.0, 0.0, 
0.94, 0.06, 1.0, 0.0, 1.0, 0.0, 
0.94, 0.06, 1.0, 0.0, 1.0, 0.0, 
0.95, 0.05, 1.0, 0.0, 1.0, 0.0, 
0.95, 0.05, 1.0, 0.0, 1.0, 0.0, 
0.95, 0.05, 1.0, 0.0, 1.0, 0.0, 
0.95, 0.05, 1.0, 0.0, 1.0, 0.0, 
0.95, 0.05, 1.0, 0.0, 1.0, 0.0, 
0.95, 0.05, 1.0, 0.0, 1.0, 0.0, 
0.95, 0.05, 1.0, 0.0, 1.0, 0.0, 
0.95, 0.05, 1.0, 0.0, 1.0, 0.0, 
0.95, 0.05, 1.0, 0.0, 1.0, 0.0, 
0.96, 0.04, 1.0, 0.0, 1.0, 0.0, 
0.97, 0.03, 1.0, 0.0, 1.0, 0.0, 
0.98, 0.02, 1.0, 0.0, 1.0, 0.0, 
0.98, 0.02, 1.0, 0.0, 1.0, 0.0, 
0.98, 0.02, 1.0, 0.0, 1.0, 0.0, 
0.98, 0.02, 1.0, 0.0, 1.0, 0.0, 
0.98, 0.02, 1.0, 0.0, 1.0, 0.0, 
0.98, 0.02, 1.0, 0.0, 1.0, 0.0, 
0.98, 0.02, 1.0, 0.0, 1.0, 0.0, 
0.98, 0.02, 1.0, 0.0, 1.0, 0.0, 
0.98, 0.02, 1.0, 0.0, 1.0, 0.0, 
0.98, 0.02, 1.0, 0.0, 1.0, 0.0, 
0.98, 0.02, 1.0, 0.0, 1.0, 0.0, 
0.98, 0.02, 1.0, 0.0, 1.0, 0.0, 
0.98, 0.02, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
0.99, 0.01, 1.0, 0.0, 1.0, 0.0, 
1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 
1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 
1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 
1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 
1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 
1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 
